step,multitask/SpaceInvaders/loss,multitask/epsilon
50000,0.018441926687955856,0.901
51000,0.002304580993950367,0.89902
52000,0.0006257526110857725,0.8970400000000001
53000,0.015066984109580517,0.89506
54000,0.00047687377082183957,0.89308
55000,0.0012772944755852222,0.8911
56000,0.015151025727391243,0.88912
57000,0.000162080061272718,0.88714
58000,0.0012018767884001136,0.88516
59000,0.0003369034384377301,0.88318
60000,0.015926307067275047,0.8812
61000,0.015032395720481873,0.87922
62000,6.646753172390163e-05,0.87724
63000,0.014485583640635014,0.87526
64000,0.00010067041148431599,0.8732800000000001
65000,0.00028966908575966954,0.8713
66000,1.3442719136946835e-05,0.86932
67000,0.014625872485339642,0.86734
68000,0.015550032258033752,0.86536
69000,0.00035073611070401967,0.86338
70000,7.67164965509437e-06,0.8613999999999999
71000,0.00051675591384992,0.8594200000000001
72000,2.9359393010963686e-05,0.85744
73000,0.04553999379277229,0.85546
74000,0.0002419830416329205,0.85348
75000,0.01325375959277153,0.8515
76000,0.015102987177670002,0.84952
77000,0.0006413959199562669,0.84754
78000,0.015828201547265053,0.84556
79000,8.599374268669635e-05,0.84358
80000,2.608516842883546e-05,0.8416
81000,0.029605913907289505,0.83962
82000,0.013841444626450539,0.8376399999999999
83000,2.27133568841964e-05,0.83566
84000,1.4539486073772423e-05,0.83368
85000,0.00021382016711868346,0.8317
86000,0.0003016701666638255,0.82972
87000,6.440327706513926e-05,0.82774
88000,0.00020291571854613721,0.82576
89000,0.00040711057954467833,0.82378
90000,0.030057337135076523,0.8218
91000,0.04557589814066887,0.81982
92000,0.00014933054626453668,0.81784
93000,0.00038731913082301617,0.81586
94000,0.029997704550623894,0.8138799999999999
95000,0.00030682701617479324,0.8119000000000001
96000,0.030297769233584404,0.80992
97000,0.0012695349287241697,0.80794
98000,0.03071349300444126,0.80596
99000,0.00015954607806634158,0.80398
100000,0.015064466744661331,0.802
101000,0.014149420894682407,0.80002
102000,0.02978079952299595,0.7980400000000001
103000,0.0005659559392370284,0.79606
104000,3.0627637897850946e-05,0.79408
105000,4.111650923732668e-05,0.7921
106000,7.518969505326822e-05,0.79012
107000,0.027319392189383507,0.7881400000000001
108000,0.0009887857595458627,0.78616
109000,0.0001790956303011626,0.78418
110000,6.490559462690726e-05,0.7822
111000,0.0002483654534444213,0.78022
112000,0.0004958811914548278,0.77824
113000,0.02694714069366455,0.77626
114000,0.00020286078506615013,0.77428
115000,0.013586420565843582,0.7723
116000,0.0001654650259297341,0.77032
