method,game,game_id,mean_reward,std_reward,min_reward,max_reward
Individual,Pong,ALE/Pong-v5,-17.7,1.8466185312619388,-21.0,-16.0
Individual,Breakout,ALE/Breakout-v5,3.7,1.3453624047073711,1.0,6.0
